"Process","person_uri","object_uri","Artwork_Name","image","Artwork_Year","Dimensions","person_appellation_uri","name","Provenance"
"Wood, nylon stocking, resin, and adjustable steel rod","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=94.73&dim=300px","","8 x 80 x 90 in. (20.3 x 203.2 x 228.6 cm)","","Ross Rudel","The Museum of Contemporary Art, Los Angeles
The Panza Gift"
"Stained wood","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=94.68&dim=300px","","68 x 3 1/4 x 3 1/4 in. (172.7 x 8.3 x 8.3 cm)","","Ross Rudel","The Museum of Contemporary Art, Los Angeles
The Panza Gift"
"Graphite on paper","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2001.62&dim=300px","","24 x 18 in. (61 x 45.7 cm)","","T. Kelly Mason","The Museum of Contemporary Art, Los Angeles
Gift of an anonymous donor"
"Aluminum structure, packing blankets, collage and sound installation","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2001.11&dim=300px","","98 1/2 x 63 x 358 1/4 in. (250.2 x 160 x 910 cm)","","T. Kelly Mason","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by Mike Kelley"
"Lithograph, edition 59/90","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=85.107&dim=300px","","20 x 28 in. (50.8 x 71.1 cm)","","Edward Ruscha","The Museum of Contemporary Art, Los Angeles
Gift of Ronald Wilkniss"
"Six silkscreens, edition 41/100","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=91.26A-F&dim=300px","","Each: 20 1/8 x 27 in. (51.1 x 68.6 cm)","","Edward Ruscha","The Museum of Contemporary Art, Los Angeles
Gift of Jonathan Novak"
"Lithograph on paper","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=96.157&dim=300px","","41 x 31 1/2 in. (104.1 x 80 cm)","","Edward Ruscha","The Museum of Contemporary Art, Los Angeles
Bequest of Marcia Simon Weisman"
"Oil on canvas","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=99.89&dim=300px","","19 1/2 x 52 1/4 in. (49.5 x 132.7 cm)","","Edward Ruscha","The Museum of Contemporary Art, Los Angeles
Gift of Alan N. Kleinman from the Estate of Marsha Kleinman"
"Cheese mold, gunpowder, and pastel on paper","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=91.47&dim=300px","","14 1/4 x 22 3/4 in. (36.2 x 57.8 cm)","","Edward Ruscha","The Museum of Contemporary Art, Los Angeles
Bequest of Leopold S. Tuchman and Gift of Cynthia S. Monaco"
"Lithograph, ed 89/100","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=87.55&dim=300px","","Frame: 21 1/4 x 27 1/2 x 1 1/8 in. (54 x 69.9 x 2.9 cm)","","Edward Ruscha","The Museum of Contemporary Art, Los Angeles
Gift of Wells Fargo Bank, Los Angeles"
"Acrylic on canvas","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=94.97&dim=300px","","72 x 72 in. (182.9 x 182.9 cm)","","Edward Ruscha","The Museum of Contemporary Art, Los Angeles
Gift of Beatrice and Philip Gersh"
"Mixed media photograph","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.144.12&dim=300px","","20 x 24 in. (50.8 x 61 cm)","","Susan Rankaitis","The Museum of Contemporary Art, Los Angeles
Gift of Ruth and Jacob Bloom"
"Mixed media photograph","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.144.1&dim=300px","","20 x 24 in. (50.8 x 61 cm)","","Susan Rankaitis","The Museum of Contemporary Art, Los Angeles
Gift of Ruth and Jacob Bloom"
"Mixed media photograph","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.144.18&dim=300px","","20 x 24 in. (50.8 x 61 cm)","","Susan Rankaitis","The Museum of Contemporary Art, Los Angeles
Gift of Ruth and Jacob Bloom"
"Mixed media photograph","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.144.3&dim=300px","","20 x 24 in. (50.8 x 61 cm)","","Susan Rankaitis","The Museum of Contemporary Art, Los Angeles
Gift of Ruth and Jacob Bloom"
"Mixed media photograph","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.144.7&dim=300px","","20 x 24 in. (50.8 x 61 cm)","","Susan Rankaitis","The Museum of Contemporary Art, Los Angeles
Gift of Ruth and Jacob Bloom"
"Mixed media photograph","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.144.14&dim=300px","","20 x 24 in. (50.8 x 61 cm)","","Susan Rankaitis","The Museum of Contemporary Art, Los Angeles
Gift of Ruth and Jacob Bloom"
"Mixed media photograph","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.144.5&dim=300px","","20 x 24 in. (50.8 x 61 cm)","","Susan Rankaitis","The Museum of Contemporary Art, Los Angeles
Gift of Ruth and Jacob Bloom"
"Mixed media photograph","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.144.16&dim=300px","","20 x 24 in. (50.8 x 61 cm)","","Susan Rankaitis","The Museum of Contemporary Art, Los Angeles
Gift of Ruth and Jacob Bloom"
"Mixed media photograph","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.144.10&dim=300px","","20 x 24 in. (50.8 x 61 cm)","","Susan Rankaitis","The Museum of Contemporary Art, Los Angeles
Gift of Ruth and Jacob Bloom"
"Lithograph on paper, edition 82/100","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=96.159&dim=300px","","33 x 28 1/2 in. (83.8 x 72.4 cm)","","Edward Ruscha","The Museum of Contemporary Art, Los Angeles
Bequest of Marcia Simon Weisman"
"Lithograph on paper, edition of 55","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=96.156&dim=300px","","37 x 31 1/2 in. (94 x 80 cm)","","Edward Ruscha","The Museum of Contemporary Art, Los Angeles
Bequest of Marcia Simon Weisman"
"Silkscreen on paper, edition 73/75","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=96.155&dim=300px","","17 1/4 x 50 1/4 in. (43.8 x 127.6 cm)","","Edward Ruscha","The Museum of Contemporary Art, Los Angeles
Bequest of Marcia Simon Weisman"
"Lithograph, edition 89/100","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=87.57&dim=300px","","Frame: 21 1/4 x 27 1/2 x 1 1/4 in. (54 x 69.9 x 3.2 cm)","","Edward Ruscha","The Museum of Contemporary Art, Los Angeles
Gift of Wells Fargo Bank, Los Angeles"
"Silkscreen on paper, edition 5/100","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=99.27&dim=300px","","Paper: 19 1/2 x 48 in. (49.5 x 121.9 cm)
Image: 13 3/4 x 42 1/4 in. (34.9 x 107.3 cm)","","Edward Ruscha","The Museum of Contemporary Art, Los Angeles
Gift of Adrienne Barbeau"
"Gelatin silver print, edition 7/25","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=90.13.1&dim=300px","","19 1/2 x 23 in. (49.5 x 58.4 cm)","","Edward Ruscha","The Museum of Contemporary Art, Los Angeles
Gift of Gilbert B. Friesen"
"Acrylic on raw canvas","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2000.31&dim=300px","","21 1/4 x 30 7/8 in. (54 x 78.4 cm)","","Edward Ruscha","The Museum of Contemporary Art, Los Angeles
Gift of Gilbert B. Friesen and the artist"
"Acrylic and oil on canvas","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=91.51&dim=300px","","72 x 72 in. (182.9 x 182.9 cm)","","Edward Ruscha","The Museum of Contemporary Art, Los Angeles
Gift of Jane and Marc Nathanson"
"Portfolio of six organic screenprints, edition 125","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=92.5A-F&dim=300px","","Each: 23 1/16 x 31 7/8 in. (58.6 x 81 cm)","","Edward Ruscha","The Museum of Contemporary Art, Los Angeles
Gift of Dia M. Dorsey"
"Acrylic on canvas","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2000.8&dim=300px","","54 x 120 in. (137.2 x 304.8 cm)","","Edward Ruscha","The Museum of Contemporary Art, Los Angeles
Gift of Audrey M. Irmas in honor of Jeremy Strick"
"Mixed media photograph","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.144.9&dim=300px","","20 x 24 in. (50.8 x 61 cm)","","Susan Rankaitis","The Museum of Contemporary Art, Los Angeles
Gift of Ruth and Jacob Bloom"
"Mixed media photograph","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.144.4&dim=300px","","20 x 24 in. (50.8 x 61 cm)","","Susan Rankaitis","The Museum of Contemporary Art, Los Angeles
Gift of Ruth and Jacob Bloom"
"Mixed media photograph","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.144.15&dim=300px","","20 x 24 in. (50.8 x 61 cm)","","Susan Rankaitis","The Museum of Contemporary Art, Los Angeles
Gift of Ruth and Jacob Bloom"
"Mixed media photograph","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.144.2&dim=300px","","20 x 24 in. (50.8 x 61 cm)","","Susan Rankaitis","The Museum of Contemporary Art, Los Angeles
Gift of Ruth and Jacob Bloom"
"Mixed media photograph","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.144.11&dim=300px","","20 x 24 in. (50.8 x 61 cm)","","Susan Rankaitis","The Museum of Contemporary Art, Los Angeles
Gift of Ruth and Jacob Bloom"
"Mixed media photograph","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.144.8&dim=300px","","20 x 24 in. (50.8 x 61 cm)","","Susan Rankaitis","The Museum of Contemporary Art, Los Angeles
Gift of Ruth and Jacob Bloom"
"Mixed media photograph","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.144.6&dim=300px","","20 x 24 in. (50.8 x 61 cm)","","Susan Rankaitis","The Museum of Contemporary Art, Los Angeles
Gift of Ruth and Jacob Bloom"
"Mixed media photograph","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.144.13&dim=300px","","20 x 24 in. (50.8 x 61 cm)","","Susan Rankaitis","The Museum of Contemporary Art, Los Angeles
Gift of Ruth and Jacob Bloom"
"Mixed media photograph","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.144.17&dim=300px","","20 x 24 in. (50.8 x 61 cm)","","Susan Rankaitis","The Museum of Contemporary Art, Los Angeles
Gift of Ruth and Jacob Bloom"
"Mixed media on canvas","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=86.49&dim=300px","","94 x 102 in. (238.8 x 259.1 cm)","","Frank Stella","The Museum of Contemporary Art, Los Angeles
Gift of Irwin and Doris Osher"
"One color lithograph on Deluxe paper, edition 52/100","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2000.93.2&dim=300px","","Paper: 16 x 22 in. (40.6 x 55.9 cm)","","Frank Stella","The Museum of Contemporary Art, Los Angeles
Gift of J. P. Guerin"
"One color lithograph on Deluxe paper, edition 52/100","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2000.93.4&dim=300px","","Paper: 16 x 22 in. (40.6 x 55.9 cm)","","Frank Stella","The Museum of Contemporary Art, Los Angeles
Gift of J. P. Guerin"
"34 color lithograph/screenprint, edition 21/50","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=82.12.4&dim=300px","","33 7/8 x 45 7/8 in. (86 x 116.5 cm)","","Frank Stella","The Museum of Contemporary Art, Los Angeles
Gift of  David Gensburg"
"Honeycomb aluminum","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=85.94&dim=300px","","103 x 109 x 64 in. (261.6 x 276.9 x 162.6 cm)","","Frank Stella","The Museum of Contemporary Art, Los Angeles
The Barry Lowen Collection"
"Eight color lithograph/screenprint on Arches paper, edition of 100","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2000.113&dim=300px","","Paper: 22 x 17 in. (55.9 x 43.2 cm)
Frame: 22 3/4 x 17 3/4 in. (57.8 x 45.1 cm)","","Frank Stella","The Museum of Contemporary Art, Los Angeles
Gift of The Harold I. Huttas Family Collection"
"Polymer and polymer fluorescent paint on canvas","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2000.81&dim=300px","","120 x 240 in. (304.8 x 609.6 cm)","","Frank Stella","The Museum of Contemporary Art, Los Angeles
Gift of Jacqueline and Irving Blum in memory of Sayde Moss"
"Black and white photomontage","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2002.42.1&dim=300px","","156 x 192 in. (396.2 x 487.7 cm)","","Lincoln Tobier","The Museum of Contemporary Art, Los Angeles
Gift of Themis and Dare Michos"
"Mixed media radio transmission station, 18 framed photostats, neon sign","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2002.43&dim=300px","","Each (Photostat): 11 x 17 in. (27.9 x 43.2 cm)
Dimensions variable","","Lincoln Tobier","The Museum of Contemporary Art, Los Angeles
Gift of Themis and Dare Michos"
"Color photograph on board","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2002.42.2&dim=300px","","39 1/2 x 27 1/2 in. (100.3 x 69.9 cm)","","Lincoln Tobier","The Museum of Contemporary Art, Los Angeles
Gift of Themis and Dare Michos"
"Gelatin silver print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=95.54.55&dim=300px","","Image: 8 5/8 x 12 13/16 in. (21.9 x 32.5 cm)
Paper: 11 x 14 in. (27.9 x 35.6 cm)","","Garry Winogrand","The Museum of Contemporary Art, Los Angeles
The Ralph M. Parsons Foundation Photography Collection"
"Gelatin silver print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=95.55.2&dim=300px","","Frame: 21 11/16 x 17 5/8 in. (55.1 x 44.8 cm)
11 x 14 in. (27.9 x 35.6 cm)
Image: 8 3/4 x 13 1/8 in. (22.2 x 33.3 cm)","","Garry Winogrand","The Museum of Contemporary Art, Los Angeles
The Ralph M. Parsons Foundation Photography Collection"
"Gelatin silver print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.2.22&dim=300px","","Frame: 17 5/8 x 21 5/8 in. (44.8 x 54.9 cm)
17 x 14 in. (43.2 x 35.6 cm)
Image: 15 5/8 x 10 3/8 in. (39.7 x 26.4 cm)","","Henry Wessel","The Museum of Contemporary Art, Los Angeles
Gift of Dr. Philip Greider"
"Gelatin silver print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.2.1&dim=300px","","Frame: 17 5/8 x 21 5/8 in. (44.8 x 54.9 cm)
17 x 14 in. (43.2 x 35.6 cm)
Image: 15 5/8 x 10 3/8 in. (39.7 x 26.4 cm)","","Henry Wessel","The Museum of Contemporary Art, Los Angeles
Gift of Dr. Philip Greider"
"Gelatin silver print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.2.37&dim=300px","","Frame: 17 5/8 x 21 5/8 in. (44.8 x 54.9 cm)
14 x 17 in. (35.6 x 43.2 cm)
Image: 10 3/8 x 15 5/8 in. (26.4 x 39.7 cm)","","Henry Wessel","The Museum of Contemporary Art, Los Angeles
Gift of Dr. Philip Greider"
"Gelatin silver print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.2.14&dim=300px","","Frame: 17 5/8 x 21 5/8 in. (44.8 x 54.9 cm)
17 x 14 in. (43.2 x 35.6 cm)
Image: 15 5/8 x 10 3/8 in. (39.7 x 26.4 cm)","","Henry Wessel","The Museum of Contemporary Art, Los Angeles
Gift of Dr. Philip Greider"
"Gelatin silver print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.2.29&dim=300px","","Frame: 17 5/8 x 21 5/8 in. (44.8 x 54.9 cm)
14 x 17 in. (35.6 x 43.2 cm)
Image: 10 3/8 x 15 5/8 in. (26.4 x 39.7 cm)","","Henry Wessel","The Museum of Contemporary Art, Los Angeles
Gift of Dr. Philip Greider"
"Gelatin silver print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.2.5&dim=300px","","Frame: 17 5/8 x 21 5/8 in. (44.8 x 54.9 cm)
14 x 17 in. (35.6 x 43.2 cm)
Image: 10 3/8 x 15 5/8 in. (26.4 x 39.7 cm)","","Henry Wessel","The Museum of Contemporary Art, Los Angeles
Gift of Dr. Philip Greider"
"Gelatin silver print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=89.35.117&dim=300px","","8 x 6 3/8 in. (20.3 x 16.2 cm)
Image: 8 x 6 3/8 in. (20.3 x 16.2 cm)","","Max Yavno","The Museum of Contemporary Art, Los Angeles
The Max Yavno Collection"
"Silver print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=85.119&dim=300px","","10 7/8 x 13 7/8 in. (27.6 x 35.2 cm)
Image: 10 3/4 x 13 1/2 in. (27.3 x 34.3 cm)","","Max Yavno","The Museum of Contemporary Art, Los Angeles
Gift of Lorenzo, Nicholas and Christina Hernandez"
"Gelatin silver print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=89.35.98&dim=300px","","15 1/4 x 19 3/8 in. (38.7 x 49.2 cm)","","Max Yavno","The Museum of Contemporary Art, Los Angeles
The Max Yavno Collection"
"Gelatin silver print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=89.35.109&dim=300px","","16 x 20 in. (40.6 x 50.8 cm)
Image: 7 1/4 x 13 3/8 in. (18.4 x 34 cm)","","Max Yavno","The Museum of Contemporary Art, Los Angeles
The Max Yavno Collection"
"Gelatin silver print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=89.35.49&dim=300px","","13 1/2 x 10 3/8 in. (34.3 x 26.4 cm)","","Max Yavno","The Museum of Contemporary Art, Los Angeles
The Max Yavno Collection"
"Gelatin silver print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=89.35.81&dim=300px","","15 3/8 x 19 3/8 in. (39.1 x 49.2 cm)","","Max Yavno","The Museum of Contemporary Art, Los Angeles
The Max Yavno Collection"
"Gelatin silver print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=89.35.12&dim=300px","","20 x 15 in. (50.8 x 38.1 cm)
Image: 13 3/8 x 10 1/2 in. (34 x 26.7 cm)","","Max Yavno","The Museum of Contemporary Art, Los Angeles
The Max Yavno Collection"
"Gelatin silver print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=89.35.34&dim=300px","","15 7/8 x 19 7/8 in. (40.3 x 50.5 cm)
Image: 10 1/4 x 13 1/2 in. (26 x 34.3 cm)","","Max Yavno","The Museum of Contemporary Art, Los Angeles
The Max Yavno Collection"
"Gelatin silver print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=89.35.141&dim=300px","","22 x 28 in. (55.9 x 71.1 cm)
Image: 15 1/2 x 19 3/8 in. (39.4 x 49.2 cm)","","Max Yavno","The Museum of Contemporary Art, Los Angeles
The Max Yavno Collection"
"Gelatin silver print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=89.35.19&dim=300px","","19 7/8 x 15 7/8 in. (50.5 x 40.3 cm)
Image: 13 1/2 x 10 1/8 in. (34.3 x 25.7 cm)","","Max Yavno","The Museum of Contemporary Art, Los Angeles
The Max Yavno Collection"
"Gelatin silver print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=89.35.96&dim=300px","","13 3/8 x 10 3/8 in. (34 x 26.4 cm)
Image: 13 3/8 x 10 3/8 in. (34 x 26.4 cm)","","Max Yavno","The Museum of Contemporary Art, Los Angeles
The Max Yavno Collection"
"Photomechanical print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=89.35.171&dim=300px","","16 x 20 in. (40.6 x 50.8 cm)
Image: 8 1/8 x 16 1/2 in. (20.6 x 41.9 cm)","","Max Yavno","The Museum of Contemporary Art, Los Angeles
The Max Yavno Collection"
"Gelatin silver print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=89.35.156&dim=300px","","16 x 19 7/8 in. (40.6 x 50.5 cm)
Image: 19 3/8 in. (49.2 cm)","","Max Yavno","The Museum of Contemporary Art, Los Angeles
The Max Yavno Collection"
